date,product,organic_price_eur_kg,conventional_price_eur_kg
2021-01-01,tomaten,,
2021-01-01,salat,,
2021-01-01,gurken,,
2021-01-01,paprika,,
2021-04-01,tomaten,,
2021-04-01,salat,,
2021-04-01,gurken,,
2021-04-01,paprika,,
2021-07-01,tomaten,,
2021-07-01,salat,,
2021-07-01,gurken,,
2021-07-01,paprika,,
2021-10-01,tomaten,,
2021-10-01,salat,,
2021-10-01,gurken,,
2021-10-01,paprika,,
2022-01-01,tomaten,,
2022-01-01,salat,,
2022-01-01,gurken,,
2022-01-01,paprika,,
2022-04-01,tomaten,,
2022-04-01,salat,,
2022-04-01,gurken,,
2022-04-01,paprika,,
2022-07-01,tomaten,,
2022-07-01,salat,,
2022-07-01,gurken,,
2022-07-01,paprika,,
2022-10-01,tomaten,,
2022-10-01,salat,,
2022-10-01,gurken,,
2022-10-01,paprika,,
2023-01-01,tomaten,,
2023-01-01,salat,,
2023-01-01,gurken,,
2023-01-01,paprika,,
2023-04-01,tomaten,,
2023-04-01,salat,,
2023-04-01,gurken,,
2023-04-01,paprika,,
2023-07-01,tomaten,,
2023-07-01,salat,,
2023-07-01,gurken,,
2023-07-01,paprika,,
2023-10-01,tomaten,,
2023-10-01,salat,,
2023-10-01,gurken,,
2023-10-01,paprika,,
2024-01-01,tomaten,,
2024-01-01,salat,,
2024-01-01,gurken,,
2024-01-01,paprika,,
2024-04-01,tomaten,,
2024-04-01,salat,,
2024-04-01,gurken,,
2024-04-01,paprika,,
2024-07-01,tomaten,,
2024-07-01,salat,,
2024-07-01,gurken,,
2024-07-01,paprika,,
2024-10-01,tomaten,,
2024-10-01,salat,,
2024-10-01,gurken,,
2024-10-01,paprika,,
2025-01-01,tomaten,,
2025-01-01,salat,,
2025-01-01,gurken,,
2025-01-01,paprika,,
2025-04-01,tomaten,,
2025-04-01,salat,,
2025-04-01,gurken,,
2025-04-01,paprika,,
2025-07-01,tomaten,,
2025-07-01,salat,,
2025-07-01,gurken,,
2025-07-01,paprika,,
2025-10-01,tomaten,,
2025-10-01,salat,,
2025-10-01,gurken,,
2025-10-01,paprika,,
