,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
gt_bio_tomaten,265.0,65.158,17.435,29.0,53.0,66.0,80.0,100.0,-0.268,-0.81
gt_bio_salat,265.0,69.166,15.07,43.0,56.0,69.0,81.0,100.0,0.206,-0.874
gt_bio_gurken,265.0,39.721,30.026,0.0,0.0,47.0,67.0,100.0,-0.253,-1.335
gt_bio_paprika,265.0,45.642,14.546,20.0,36.0,45.0,54.0,100.0,0.868,1.673
temp_mean_weekly,273.0,10.443,7.486,-8.729,4.386,9.657,17.243,25.157,-0.004,-1.007
precip_sum_weekly,273.0,12.204,12.48,0.0,3.4,8.2,17.6,71.8,1.856,4.525
sunshine_hours_weekly,273.0,54.05,28.314,3.045,27.18,54.718,80.36,107.385,-0.05,-1.217
consumer_confidence,273.0,98.743,1.167,96.256,98.405,98.405,98.997,101.339,0.513,0.448
food_price_index,273.0,137.189,14.46,111.6,122.8,144.0,148.7,151.7,-0.728,-1.121
inflation_rate,273.0,3.991,2.283,1.202,2.192,2.641,6.143,8.821,0.818,-0.719
gt_norm_bio_tomaten,265.0,0.652,0.174,0.29,0.53,0.66,0.8,1.0,-0.268,-0.81
gt_norm_bio_salat,265.0,0.692,0.151,0.43,0.56,0.69,0.81,1.0,0.206,-0.874
gt_norm_bio_gurken,265.0,0.397,0.3,0.0,0.0,0.47,0.67,1.0,-0.253,-1.335
gt_norm_bio_paprika,265.0,0.456,0.145,0.2,0.36,0.45,0.54,1.0,0.868,1.673
